lambda x
7032.41 2608
6929.47 2570
6717.04 2504
6678.28 2486
6598.95 2464
6532.88 2438
6506.53 2430
6402.24 2390
6382.99 2384
6334.42 2364
6304.79 2352
6266.49 2336
6217.28 2318
6163.59 2294
6143.06 2286
6096.14 2262
6074.34 2254
6030.00 2236
5975.53 2210
5944.83 2194
5881.89 2164
5852.49 2148
5400.56 1890
