U  I_дел
0.05  0
2.20  0
4.02  0
6.37  3
8.05  5
10.01 8
12.07 11
14.14 14
16.02 16
17.13 18
18.06 19
19.01 20
19.98 20
21.19 20
21.71 19.5
22.18 19
22.87 17
22.89 15
23.05 12
23.26 10
23.63 7.5
24.04 6
24.53 4
24.95 3
26.05 2
28.18 3
28.51 5
# 29.12 4
29.06 6
29.55 8
30.08 9
30.45 10
31.12 12
31.51 13
32.06 14
32.67 16
33.39 18
34.10 19
34.83 21
35.27 22
35.69 23
36.07 23
37.21 24
38.10 24
38.93 24
39.98 24
40.45 23
41.00 22
41.64 21
42.12 21
42.83 20
43.23 19
44.05 18.5
45.07 17
46.04 16
47.12 15
48.33 15
49.16 15
50.00 15
51.31 15
52.12 16
53.09 17
54.32 18
55.06 18.5
56.22 20
