U I
0.010 -0.00080
2.397  0.00002
2.543  0.00040
3.008  0.00983
3.515  0.01859
4.003  0.02116
4.518  0.02165
5.014  0.02086
5.507  0.01976
6.005  0.01892
6.498  0.01763
6.999  0.01598
7.513  0.01425
7.995  0.01275
8.504  0.01153
8.992  0.01045
9.512  0.00952
10.019 0.00911
10.523 0.00905
11.004 0.00926
11.510 0.00966
12.020 0.00996
12.308 0.01010
